Takeoff,,Landing,
X,Y,X,Y
0.022720547642707294,0.7884784520668424,0.032275587943027484,0.7836411609498681
0.02251076515402451,0.7884784520668424,0.03202384895660814,0.7829815303430079
0.022319384638033197,0.785821606566989,0.03178535939052666,0.7803430079155673
0.02206175702035258,0.7853635297566693,0.031533620404107315,0.7777044854881267
0.021804129402671967,0.7816989152741131,0.03120238489566081,0.7744063324538258
0.021610908689411505,0.7803246848431543,0.030884398807552164,0.7730870712401055
0.02137168304442236,0.7780343007915567,0.030698906922822122,0.7704485488126649
0.0211784623311619,0.7752858399296393,0.030447167936402772,0.7678100263852242
0.020948437672518493,0.7729954558780414,0.03015568068896985,0.7651715039577835
0.020681609068492143,0.7697889182058046,0.029890692282212646,0.7618733509234827
0.020433182437157263,0.7665823805335678,0.029625703875455447,0.7592348284960422
0.020212358764859592,0.7638339196716504,0.029347466048360374,0.7559366754617415
0.020000736078907656,0.7620016124303721,0.029069228221265314,0.753957783641161
0.019752309447572777,0.760169305189094,0.028777740973832386,0.7493403693931399
0.019540686761620848,0.7578789211374961,0.028526001987413042,0.7480211081794195
0.019319863089323177,0.7542143066549398,0.02823451473998012,0.7434036939313984
0.019117441389716976,0.7523819994136615,0.027982775753560778,0.741424802110818
0.018924220676456514,0.7505496921723834,0.027611791984100693,0.7354881266490765
0.01875860292223326,0.7491754617414247,0.027280556475654187,0.7308707124010553
0.018556181222627068,0.7455108472588682,0.02700231864855912,0.7275725593667547
0.018390563468403814,0.7432204632072705,0.026790327923153355,0.7242744063324539
0.01822494571418056,0.7418462327763118,0.02641934415369327,0.7189973614775725
0.0180317250009201,0.7390977719143945,0.026074859224908903,0.7143799472295513
0.017847705274005372,0.7377235414834359,0.025743623716462397,0.7117414248021108
0.017663685547090646,0.7345170038111989,0.025438887048691614,0.7064643799472295
0.017442861874792978,0.7322266197596012,0.025160649221596547,0.7025065963060686
0.01725884214787825,0.7299362357080034,0.024802914872474324,0.6972295514511873
0.01706562143461779,0.7276458516564056,0.024511427625041396,0.691292875989446
0.01677118987155423,0.7239812371738492,0.024180192116594897,0.6879947229551452
0.016531964226565086,0.7207746995016123,0.023928453130175546,0.683377308707124
0.016301939567921683,0.718026238639695,0.023650215303080487,0.6781002638522426
0.016081115895624012,0.7152777777777777,0.023358728055647558,0.6734828496042217
0.015897096168709286,0.7125293169158603,0.023040741967538914,0.6682058047493404
0.015676272496411615,0.710697009674582,0.022775753560781712,0.6629287598944591
0.015455448824113947,0.706574318381706,0.022457767472673064,0.6563324538258575
0.015234625151816273,0.7042839343301084,0.02215303080490228,0.6503957783641161
0.01505060542490155,0.7010773966578714,0.021914541238820796,0.645778364116095
0.014848183725295349,0.6978708589856345,0.021649552832063594,0.6391820580474934
0.0146825659710721,0.6960385517443564,0.02141106326598211,0.6325857519788919
0.014443340326082955,0.6919158604514803,0.021238820801589925,0.6273087071240105
0.014250119612822496,0.6887093227792435,0.021026830076184163,0.6220316622691292
0.014093702844944978,0.6864189387276457,0.0207485922490891,0.6141160949868074
0.013882080158993042,0.6813800938141306,0.020589599205034774,0.6081794195250659
0.01367045747304111,0.6772574025212545,0.020417356740642593,0.6009234828496043
0.013468035773434913,0.6731347112283786,0.020231864855912548,0.5936675461741424
0.013238011114791504,0.6685539431251831,0.020033123550844648,0.5857519788918205
0.013044790401531045,0.6644312518323071,0.019834382245776744,0.5778364116094987
0.012879172647307792,0.6603085605394311,0.01968863862206028,0.5672823218997362
0.012695152920393065,0.6571020228671942,0.019556144418681677,0.5593667546174143
0.012547937138861286,0.6529793315743183,0.019423650215303075,0.5474934036939314
0.012382319384638033,0.6497727939020813,0.01930440543226233,0.5343007915567284
0.01221670163041478,0.6456501026092054,0.01922490891023517,0.5224274406332454
0.012069485848883,0.6406112576956903,0.01918516064922159,0.511873350923483
0.011894667108314012,0.6351143359718556,0.019171911228883735,0.4980211081794197
0.011756652313127967,0.6300754910583405,0.019171911228883735,0.4828496042216359
0.011581833572558976,0.6245785693345058,0.019251407750910894,0.47361477572559374
0.0114346177910272,0.6181654939900322,0.019330904272938054,0.46108179419525075
0.011278201023149682,0.6117524186455583,0.019410400794965213,0.4511873350923483
0.011112583268926429,0.6025908824391673,0.019556144418681677,0.43865435356200533
0.010965367487394646,0.5934293462327762,0.019675389201722418,0.42810026385224287
0.010873357623937287,0.5838097332160656,0.01986088108645246,0.41688654353562016
0.01083655367855434,0.5723578129580768,0.020019874130506786,0.40567282321899745
0.01081815170586287,0.5590735854588096,0.02019211659489897,0.395778364116095
0.010854955651245814,0.5457893579595425,0.020390857899966874,0.3858839050131928
0.010873357623937287,0.5343374377015537,0.020576349784696916,0.3746701846965701
0.010928563542011705,0.5251759014951627,0.020788340510102678,0.36609498680738795
0.011020573405469063,0.5146401348578127,0.02100033123550844,0.35686015831134577
0.01110338228258069,0.5041043682204631,0.021278569062603506,0.34894459102902387
0.011222995105075264,0.49448475520375235,0.021530308049022853,0.3403693931398417
0.011370210886607043,0.48394898856640256,0.021782047035442193,0.3337730870712401
0.011480622722755879,0.4770778364116093,0.0219807883405101,0.3271767810026385
0.011600235545250453,0.469290530636177,0.02223252732692944,0.31992084432717705
0.01171984836774502,0.46150322486074447,0.022484266313348784,0.3133245382585754
0.011876265135622538,0.4541739958956317,0.022775753560781712,0.3054089709762533
